카테고리,전라남도 나주시,전라남도 나주시 남평읍,전라남도 나주시 세지면,전라남도 나주시 왕곡면,전라남도 나주시 반남면,전라남도 나주시 공산면,전라남도 나주시 동강면,전라남도 나주시 다시면,전라남도 나주시 문평면,전라남도 나주시 노안면,전라남도 나주시 금천면,전라남도 나주시 산포면,전라남도 나주시 다도면,전라남도 나주시 봉황면,전라남도 나주시 송월동,전라남도 나주시 영강동,전라남도 나주시 금남동,전라남도 나주시 성북동,전라남도 나주시 영산동,전라남도 나주시 이창동,전라남도 나주시 빛가람동
2020년07월_여_총인구수,"56,796","6,063","1,364","1,447",764,"1,205","1,284","1,811","1,022","2,309","2,115","1,671",924,"2,100","3,916","1,410","2,552","4,526","1,688","1,681","16,944"
2020년07월_여_연령구간인구수,"56,796","6,063","1,364","1,447",764,"1,205","1,284","1,811","1,022","2,309","2,115","1,671",924,"2,100","3,916","1,410","2,552","4,526","1,688","1,681","16,944"
2020년07월_여_0~9세,"4,938",560,30,45,13,46,28,33,20,43,67,48,17,64,328,81,106,384,50,77,"2,898"
2020년07월_여_10~19세,"4,544",388,74,66,27,62,37,64,28,93,101,70,29,91,424,111,158,457,164,113,"1,987"
2020년07월_여_20~29세,"5,729",573,95,119,38,67,72,108,53,161,175,134,48,149,540,159,248,587,129,161,"2,113"
2020년07월_여_30~39세,"6,975",832,60,60,27,60,50,71,38,102,137,103,44,112,475,129,197,518,103,122,"3,735"
2020년07월_여_40~49세,"7,127",749,74,89,43,91,64,109,52,141,165,142,52,130,612,191,290,683,129,167,"3,154"
2020년07월_여_50~59세,"7,821",993,201,214,118,159,185,282,146,377,327,282,154,274,620,216,427,701,263,248,"1,634"
2020년07월_여_60~69세,"7,718",904,266,287,167,235,251,379,207,500,405,337,195,426,420,216,436,549,304,315,919
2020년07월_여_70~79세,"6,540",600,286,284,153,250,321,380,236,449,428,294,203,465,283,178,431,388,313,267,331
2020년07월_여_80~89세,"4,585",402,225,243,151,209,246,324,205,361,254,223,159,330,190,103,219,218,202,170,151
2020년07월_여_90~99세,770,59,49,38,27,22,30,59,36,77,51,38,23,55,23,26,36,41,27,32,21
2020년07월_여_100세 이상,49,3,4,2,0,4,0,2,1,5,5,0,0,4,1,0,4,0,4,9,1
2020년08월_계_총인구수,"114,392","12,200","2,709","3,010","1,493","2,373","2,527","3,636","1,983","4,734","4,435","3,478","1,926","4,319","7,805","2,787","5,119","9,046","3,428","3,526","33,858"
2020년08월_계_연령구간인구수,"114,392","12,200","2,709","3,010","1,493","2,373","2,527","3,636","1,983","4,734","4,435","3,478","1,926","4,319","7,805","2,787","5,119","9,046","3,428","3,526","33,858"
2020년08월_계_0~9세,"10,084","1,167",58,82,24,87,50,67,35,104,146,94,43,129,675,160,252,784,121,136,"5,870"
2020년08월_계_10~19세,"9,351",800,154,147,54,128,87,164,58,174,221,148,54,209,871,233,376,972,283,212,"4,006"
